

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
035.048  000.178  000.178: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/colorizer/autoload/colorizer.vim
035.322  000.575  000.397: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/colorizer/plugin/colorizer.vim
035.457  000.040  000.040: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-swagger-preview/plugin/vim-swagger-preview.vim
035.593  000.092  000.092: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-yaml-helper/plugin/vim-yaml-helper.vim
035.697  000.049  000.049: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/rust.vim/plugin/cargo.vim
035.732  000.023  000.023: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/rust.vim/plugin/rust.vim
035.979  000.070  000.070: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-test/autoload/test.vim
036.611  000.842  000.772: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-test/plugin/test.vim
038.010  001.350  001.350: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-dispatch/plugin/dispatch.vim
038.080  000.027  000.027: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vimux-jest-test/plugin/vimux-jest-test.vim
038.181  000.061  000.061: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-node-inspect/plugin/nodeinspect.vim
038.381  000.149  000.149: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startuptime/plugin/startuptime.vim
038.794  000.372  000.372: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/quick-scope/plugin/quick_scope.vim
038.932  000.089  000.089: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-peekaboo/plugin/peekaboo.vim
039.055  000.082  000.082: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startify/plugin/startify.vim
039.207  000.110  000.110: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-easy-align/plugin/easy_align.vim
039.272  000.012  000.012: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/goyo.vim/plugin/goyo.vim
039.336  000.027  000.027: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/limelight.vim/plugin/limelight.vim
039.443  000.054  000.054: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gotofile/plugin/gotofile.vim
039.748  000.089  000.089: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-indent-guides/autoload/indent_guides.vim
039.990  000.503  000.414: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-indent-guides/plugin/indent_guides.vim
040.306  000.251  000.251: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/auto-pairs/plugin/auto-pairs.vim
040.536  000.182  000.182: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-matchit/plugin/matchit.vim
043.564  002.981  002.981: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdcommenter/plugin/NERD_commenter.vim
043.948  000.320  000.320: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-surround/plugin/surround.vim
044.122  000.125  000.125: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-slash/plugin/slash.vim
044.512  000.099  000.099: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/autoload/nerdtree.vim
045.083  000.254  000.254: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/path.vim
045.343  000.074  000.074: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/menu_controller.vim
045.561  000.042  000.042: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/menu_item.vim
045.794  000.056  000.056: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/key_map.vim
046.084  000.116  000.116: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/bookmark.vim
046.378  000.111  000.111: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/tree_file_node.vim
046.794  000.233  000.233: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/tree_dir_node.vim
047.076  000.100  000.100: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/opener.vim
047.507  000.256  000.256: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/creator.vim
047.763  000.082  000.082: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/flag_set.vim
048.131  000.195  000.195: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/nerdtree.vim
048.660  000.362  000.362: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/ui.vim
048.849  000.019  000.019: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/event.vim
049.073  000.053  000.053: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/notifier.vim
049.932  000.673  000.673: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/autoload/nerdtree/ui_glue.vim
051.891  000.226  000.226: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-devicons/nerdtree_plugin/webdevicons.vim
052.275  000.054  000.054: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/nerdtree_plugin/exec_menuitem.vim
052.713  000.424  000.424: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/nerdtree_plugin/fs_menu.vim
052.757  000.026  000.026: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/nerdtree_plugin/vcs.vim
052.906  008.741  005.286: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/plugin/NERD_tree.vim
053.370  000.423  000.423: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/fzf/plugin/fzf.vim
053.997  000.570  000.570: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/fzf.vim/plugin/fzf.vim
054.138  000.092  000.092: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/fzf-session.vim/plugin/fzf_session.vim
055.948  001.771  001.771: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/emmet-vim/plugin/emmet.vim
056.357  000.349  000.349: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-template/plugin/templates.vim
057.417  001.015  001.015: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-fugitive/plugin/fugitive.vim
057.842  000.092  000.092: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gitgutter/autoload/gitgutter/utility.vim
058.226  000.083  000.083: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gitgutter/autoload/gitgutter/highlight.vim
058.878  001.405  001.230: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gitgutter/plugin/gitgutter.vim
059.259  000.025  000.025: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake/setup.vim
059.332  000.401  000.376: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/plugin/neomake.vim
059.380  000.010  000.010: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
059.584  000.168  000.168: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-polyglot/plugin/polyglot.vim
059.750  000.041  000.041: sourcing /usr/share/vim/vim82/plugin/getscriptPlugin.vim
059.903  000.141  000.141: sourcing /usr/share/vim/vim82/plugin/gzip.vim
060.048  000.130  000.130: sourcing /usr/share/vim/vim82/plugin/logiPat.vim
060.079  000.016  000.016: sourcing /usr/share/vim/vim82/plugin/manpager.vim
060.199  000.110  000.110: sourcing /usr/share/vim/vim82/plugin/matchparen.vim
060.592  000.373  000.373: sourcing /usr/share/vim/vim82/plugin/netrwPlugin.vim
060.622  000.008  000.008: sourcing /usr/share/vim/vim82/plugin/rrhelper.vim
060.655  000.016  000.016: sourcing /usr/share/vim/vim82/plugin/spellfile.vim
060.787  000.119  000.119: sourcing /usr/share/vim/vim82/plugin/tarPlugin.vim
060.862  000.057  000.057: sourcing /usr/share/vim/vim82/plugin/tohtml.vim
060.999  000.123  000.123: sourcing /usr/share/vim/vim82/plugin/vimballPlugin.vim
061.165  000.141  000.141: sourcing /usr/share/vim/vim82/plugin/zipPlugin.vim
061.179  002.248: loading plugins
061.210  000.031: loading packages
061.269  000.059: loading after plugins
061.276  000.007: inits 3
061.794  000.518: reading viminfo
061.801  000.007: setting raw mode
061.804  000.003: start termcap
061.812  000.008: clearing screen
062.272  000.174  000.174: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions.vim
062.371  000.030  000.030: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/quickfix.vim
062.515  000.096  000.096: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline.vim
062.632  000.019  000.019: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/netrw.vim
062.717  000.019  000.019: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/fzf.vim
063.107  000.117  000.117: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/highlighter.vim
063.328  000.481  000.364: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/term.vim
063.489  000.057  000.057: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/hunks.vim
063.722  000.121  000.121: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/branch.vim
063.859  000.030  000.030: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/fugitiveline.vim
064.011  000.052  000.052: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/ale.vim
064.247  000.074  000.074: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/whitespace.vim
064.399  000.026  000.026: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/neomake.vim
